Rank,Player,Avg,Birdie Conversion,Money
1,Scottie Scheffler,1.68,36.81%,29228357
2,Sam Burns,1.685,37.35%,6185830
3,Wyndham Clark,1.694,36.85%,10901416
4,Collin Morikawa,1.704,35.31%,8383572
4,Taylor Pendrith,1.704,35.78%,4797854
6,Viktor Hovland,1.707,34.58%,4616727
8,Jason Day,1.714,34.01%,4117518
8,Russell Henley,1.714,31.77%,5080969
12,Denny McCarthy,1.717,32.96%,4022193
14,Jordan Spieth,1.72,33.33%,2732591
18,Mackenzie Hughes,1.722,33.33%,3769962
19,Xander Schauffele,1.723,33.13%,18385320
21,Tom Hoge,1.725,34.26%,4841123
22,Matt Fitzpatrick,1.728,33.09%,3705463
25,Eric Cole,1.729,34.25%,3726147
28,Adam Scott,1.731,32.86%,4753172
29,Maverick McNealy,1.732,33.96%,4708358
30,Brian Harman,1.733,32.20%,5201770
30,Sungjae Im,1.733,34.45%,6286205
34,J.T. Poston,1.735,33.04%,5271598
38,Ludvig Åberg,1.738,34.06%,9833547
38,Byeong Hun An,1.738,34.39%,5871643
38,Beau Hossler,1.738,33.05%,2607962
38,Brendon Todd,1.738,30.99%,2461227
42,Charley Hoffman,1.739,34.60%,1805659
42,Si Woo Kim,1.739,32.53%,4526733
45,Rory McIlroy,1.741,33.74%,10893790
46,Aaron Baddeley,1.742,29.28%,471410
46,Mark Hubbard,1.742,32.62%,2757076
46,Chris Kirk,1.742,32.09%,6061136
46,Justin Thomas,1.742,32.45%,5223561
51,Billy Horschel,1.743,30.94%,5037278
53,Adam Hadwin,1.744,32.14%,4052108
53,Tom Kim,1.744,33.40%,4124968
57,Patrick Cantlay,1.745,33.74%,6279965
59,Keegan Bradley,1.747,31.97%,6879455
64,Lucas Glover,1.748,31.14%,2876201
64,Shane Lowry,1.748,31.50%,6095881
64,Sahith Theegala,1.748,33.04%,8474215
69,Jhonattan Vegas,1.749,32.87%,2309280
70,Cameron Young,1.75,33.37%,4057224
73,Harris English,1.751,31.43%,3402062
73,Emiliano Grillo,1.751,29.95%,2355824
76,Patton Kizzire,1.752,32.79%,1908579
77,Rickie Fowler,1.754,31.33%,1767709
77,Matt Kuchar,1.754,28.62%,1469667
77,Hideki Matsuyama,1.754,31.48%,11257969
77,Patrick Rodgers,1.754,31.55%,3247174
82,Corey Conners,1.755,31.76%,4061539
82,Cam Davis,1.755,33.56%,4039533
82,Seamus Power,1.755,30.65%,3033654
87,Tony Finau,1.757,32.24%,5706467
87,Sepp Straka,1.757,29.44%,4601079
92,K.H. Lee,1.758,31.01%,1519732
94,Max Homa,1.759,31.64%,3843467
94,Andrew Putnam,1.759,29.18%,2054544
101,C.T. Pan,1.76,29.75%,1801097
102,J.J. Spaun,1.761,31.93%,1645746
106,Kevin Streelman,1.762,30.29%,761677
108,Justin Rose,1.763,31.22%,3058683
111,Martin Laird,1.764,30.29%,770034
111,Troy Merritt,1.764,31.97%,741117
114,Peter Malnati,1.765,29.71%,2520248
114,Keith Mitchell,1.765,34.28%,2340999
114,Nick Taylor,1.765,30.47%,3249358
120,Luke List,1.768,31.38%,2637149
123,Daniel Berger,1.769,30.41%,1665242
123,Webb Simpson,1.769,30.44%,606011
128,Alex Noren,1.77,29.75%,3649210
128,Gary Woodland,1.77,31.16%,915153
134,Kurt Kitayama,1.771,30.77%,2474411
139,Kevin Chappell,1.773,31.05%,521738
139,Tommy Fleetwood,1.773,29.22%,4609158
139,Zach Johnson,1.773,30.07%,496380
142,Chesson Hadley,1.774,30.75%,628066
145,Joel Dahmen,1.776,29.25%,1340088
148,Adam Schenk,1.779,30.80%,1861382
153,Brandt Snedeker,1.782,28.87%,238234
155,Ryan Moore,1.785,28.23%,702589
155,Chez Reavie,1.785,27.69%,495555
170,Will Zalatoris,1.803,27.52%,4569320
176,Kevin Kisner,1.807,27.44%,175278
177,Camilo Villegas,1.809,27.79%,232296
180,Ryan Palmer,1.814,28.36%,163716
184,Vincent Norrman,1.864,23.75%,192332
