Year,Month,Ser_Month,Tests
1945,1,1,0
1945,2,2,0
1945,3,3,0
1945,4,4,0
1945,5,5,0
1945,6,6,0
1945,7,7,1
1945,8,8,2
1945,9,9,0
1945,10,10,0
1945,11,11,0
1945,12,12,0
1946,1,13,0
1946,2,14,0
1946,3,15,0
1946,4,16,0
1946,5,17,0
1946,6,18,1
1946,7,19,1
1946,8,20,0
1946,9,21,0
1946,10,22,0
1946,11,23,0
1946,12,24,0
1947,1,25,0
1947,2,26,0
1947,3,27,0
1947,4,28,0
1947,5,29,0
1947,6,30,0
1947,7,31,0
1947,8,32,0
1947,9,33,0
1947,10,34,0
1947,11,35,0
1947,12,36,0
1948,1,37,0
1948,2,38,0
1948,3,39,0
1948,4,40,2
1948,5,41,1
1948,6,42,0
1948,7,43,0
1948,8,44,0
1948,9,45,0
1948,10,46,0
1948,11,47,0
1948,12,48,0
1949,1,49,0
1949,2,50,0
1949,3,51,0
1949,4,52,0
1949,5,53,0
1949,6,54,0
1949,7,55,0
1949,8,56,0
1949,9,57,0
1949,10,58,0
1949,11,59,0
1949,12,60,0
1950,1,61,0
1950,2,62,0
1950,3,63,0
1950,4,64,0
1950,5,65,0
1950,6,66,0
1950,7,67,0
1950,8,68,0
1950,9,69,0
1950,10,70,0
1950,11,71,0
1950,12,72,0
1951,1,73,2
1951,2,74,3
1951,3,75,0
1951,4,76,2
1951,5,77,2
1951,6,78,0
1951,7,79,0
1951,8,80,0
1951,9,81,0
1951,10,82,3
1951,11,83,4
1951,12,84,0
1952,1,85,0
1952,2,86,0
1952,3,87,0
1952,4,88,3
1952,5,89,3
1952,6,90,2
1952,7,91,0
1952,8,92,0
1952,9,93,0
1952,10,94,1
1952,11,95,1
1952,12,96,0
1953,1,97,0
1953,2,98,0
1953,3,99,3
1953,4,100,4
1953,5,101,3
1953,6,102,1
1953,7,103,0
1953,8,104,0
1953,9,105,0
1953,10,106,0
1953,11,107,0
1953,12,108,0
1954,1,109,0
1954,2,110,1
1954,3,111,1
1954,4,112,2
1954,5,113,3
1954,6,114,0
1954,7,115,0
1954,8,116,0
1954,9,117,0
1954,10,118,0
1954,11,119,0
1954,12,120,0
1955,1,121,0
1955,2,122,2
1955,3,123,7
1955,4,124,3
1955,5,125,3
1955,6,126,0
1955,7,127,0
1955,8,128,0
1955,9,129,0
1955,10,130,0
1955,11,131,3
1955,12,132,0
1956,1,133,1
1956,2,134,0
1956,3,135,0
1956,4,136,0
1956,5,137,5
1956,6,138,7
1956,7,139,5
1956,8,140,0
1956,9,141,0
1956,10,142,0
1956,11,143,0
1956,12,144,0
1957,1,145,0
1957,2,146,0
1957,3,147,0
1957,4,148,1
1957,5,149,1
1957,6,150,4
1957,7,151,7
1957,8,152,7
1957,9,153,9
1957,10,154,1
1957,11,155,0
1957,12,156,2
1958,1,157,0
1958,2,158,1
1958,3,159,1
1958,4,160,1
1958,5,161,11
1958,6,162,10
1958,7,163,9
1958,8,164,6
1958,9,165,9
1958,10,166,29
1958,11,167,0
1958,12,168,0
1959,1,169,0
1959,2,170,0
1959,3,171,0
1959,4,172,0
1959,5,173,0
1959,6,174,0
1959,7,175,0
1959,8,176,0
1959,9,177,0
1959,10,178,0
1959,11,179,0
1959,12,180,0
1960,1,181,0
1960,2,182,0
1960,3,183,0
1960,4,184,0
1960,5,185,0
1960,6,186,0
1960,7,187,0
1960,8,188,0
1960,9,189,0
1960,10,190,0
1960,11,191,0
1960,12,192,0
1961,1,193,0
1961,2,194,0
1961,3,195,0
1961,4,196,0
1961,5,197,0
1961,6,198,0
1961,7,199,0
1961,8,200,0
1961,9,201,2
1961,10,202,3
1961,11,203,0
1961,12,204,5
1962,1,205,3
1962,2,206,7
1962,3,207,6
1962,4,208,8
1962,5,209,17
1962,6,210,17
1962,7,211,9
1962,8,212,2
1962,9,213,4
1962,10,214,13
1962,11,215,5
1962,12,216,4
1963,1,217,0
1963,2,218,7
1963,3,219,3
1963,4,220,5
1963,5,221,8
1963,6,222,6
1963,7,223,0
1963,8,224,3
1963,9,225,4
1963,10,226,5
1963,11,227,3
1963,12,228,3
1964,1,229,3
1964,2,230,5
1964,3,231,2
1964,4,232,5
1964,5,233,3
1964,6,234,5
1964,7,235,3
1964,8,236,4
1964,9,237,2
1964,10,238,6
1964,11,239,1
1964,12,240,6
1965,1,241,2
1965,2,242,5
1965,3,243,3
1965,4,244,5
1965,5,245,5
1965,6,246,4
1965,7,247,3
1965,8,248,3
1965,9,249,2
1965,10,250,1
1965,11,251,2
1965,12,252,3
1966,1,253,5
1966,2,254,2
1966,3,255,5
1966,4,256,7
1966,5,257,7
1966,6,258,7
1966,7,259,1
1966,8,260,2
1966,9,261,3
1966,10,262,1
1966,11,263,4
1966,12,264,4
1967,1,265,4
1967,2,266,3
1967,3,267,3
1967,4,268,5
1967,5,269,5
1967,6,270,3
1967,7,271,2
1967,8,272,5
1967,9,273,4
1967,10,274,4
1967,11,275,1
1967,12,276,3
1968,1,277,6
1968,2,278,3
1968,3,279,5
1968,4,280,5
1968,5,281,4
1968,6,282,6
1968,7,283,2
1968,8,284,4
1968,9,285,4
1968,10,286,6
1968,11,287,6
1968,12,288,5
1969,1,289,5
1969,2,290,3
1969,3,291,4
1969,4,292,3
1969,5,293,4
1969,6,294,2
1969,7,295,2
1969,8,296,3
1969,9,297,4
1969,10,298,7
1969,11,299,3
1969,12,300,6
1970,1,301,2
1970,2,302,6
1970,3,303,5
1970,4,304,2
1970,5,305,12
1970,6,306,1
1970,7,307,0
1970,8,308,0
1970,9,309,0
1970,10,310,3
1970,11,311,2
1970,12,312,6
1971,1,313,0
1971,2,314,0
1971,3,315,0
1971,4,316,1
1971,5,317,0
1971,6,318,5
1971,7,319,4
1971,8,320,4
1971,9,321,3
1971,10,322,2
1971,11,323,3
1971,12,324,3
1972,1,325,1
1972,2,326,2
1972,3,327,2
1972,4,328,2
1972,5,329,10
1972,6,330,4
1972,7,331,2
1972,8,332,1
1972,9,333,2
1972,10,334,0
1972,11,335,3
1972,12,336,4
1973,1,337,0
1973,2,338,1
1973,3,339,2
1973,4,340,4
1973,5,341,4
1973,6,342,5
1973,7,343,0
1973,8,344,0
1973,9,345,0
1973,10,346,3
1973,11,347,1
1973,12,348,4
1974,1,349,1
1974,2,350,1
1974,3,351,1
1974,4,352,2
1974,5,353,3
1974,6,354,2
1974,7,355,2
1974,8,356,2
1974,9,357,3
1974,10,358,2
1974,11,359,2
1974,12,360,1
1975,1,361,0
1975,2,362,4
1975,3,363,1
1975,4,364,3
1975,5,365,1
1975,6,366,6
1975,7,367,0
1975,8,368,0
1975,9,369,1
1975,10,370,2
1975,11,371,3
1975,12,372,1
1976,1,373,1
1976,2,374,5
1976,3,375,4
1976,4,376,0
1976,5,377,2
1976,6,378,0
1976,7,379,1
1976,8,380,0
1976,9,381,0
1976,10,382,1
1976,11,383,2
1976,12,384,4
1977,1,385,0
1977,2,386,1
1977,3,387,1
1977,4,388,2
1977,5,389,1
1977,6,390,1
1977,7,391,1
1977,8,392,5
1977,9,393,2
1977,10,394,1
1977,11,395,3
1977,12,396,2
1978,1,397,0
1978,2,398,2
1978,3,399,3
1978,4,400,2
1978,5,401,1
1978,6,402,1
1978,7,403,2
1978,8,404,1
1978,9,405,4
1978,10,406,0
1978,11,407,1
1978,12,408,2
1979,1,409,1
1979,2,410,2
1979,3,411,1
1979,4,412,0
1979,5,413,1
1979,6,414,3
1979,7,415,0
1979,8,416,2
1979,9,417,3
1979,10,418,0
1979,11,419,1
1979,12,420,1
1980,1,421,0
1980,2,422,1
1980,3,423,1
1980,4,424,2
1980,5,425,2
1980,6,426,2
1980,7,427,2
1980,8,428,0
1980,9,429,2
1980,10,430,1
1980,11,431,1
1980,12,432,0
1981,1,433,1
1981,2,434,2
1981,3,435,0
1981,4,436,1
1981,5,437,1
1981,6,438,1
1981,7,439,2
1981,8,440,2
1981,9,441,2
1981,10,442,1
1981,11,443,1
1981,12,444,2
1982,1,445,1
1982,2,446,2
1982,3,447,0
1982,4,448,1
1982,5,449,2
1982,6,450,2
1982,7,451,1
1982,8,452,2
1982,9,453,5
1982,10,454,0
1982,11,455,1
1982,12,456,1
1983,1,457,0
1983,2,458,2
1983,3,459,1
1983,4,460,1
1983,5,461,3
1983,6,462,1
1983,7,463,0
1983,8,464,3
1983,9,465,5
1983,10,466,0
1983,11,467,0
1983,12,468,2
1984,1,469,1
1984,2,470,1
1984,3,471,2
1984,4,472,0
1984,5,473,3
1984,6,474,1
1984,7,475,2
1984,8,476,3
1984,9,477,1
1984,10,478,1
1984,11,479,1
1984,12,480,2
1985,1,481,0
1985,2,482,0
1985,3,483,2
1985,4,484,2
1985,5,485,1
1985,6,486,3
1985,7,487,1
1985,8,488,2
1985,9,489,1
1985,10,490,4
1985,11,491,0
1985,12,492,1
1986,1,493,0
1986,2,494,0
1986,3,495,1
1986,4,496,3
1986,5,497,1
1986,6,498,1
1986,7,499,2
1986,8,500,0
1986,9,501,3
1986,10,502,1
1986,11,503,1
1986,12,504,1
1987,1,505,0
1987,2,506,2
1987,3,507,1
1987,4,508,3
1987,5,509,0
1987,6,510,3
1987,7,511,0
1987,8,512,1
1987,9,513,1
1987,10,514,1
1987,11,515,0
1987,12,516,2
1988,1,517,0
1988,2,518,1
1988,3,519,0
1988,4,520,1
1988,5,521,2
1988,6,522,3
1988,7,523,1
1988,8,524,3
1988,9,525,0
1988,10,526,1
1988,11,527,1
1988,12,528,2
1989,1,529,0
1989,2,530,2
1989,3,531,1
1989,4,532,0
1989,5,533,2
1989,6,534,2
1989,7,535,0
1989,8,536,0
1989,9,537,1
1989,10,538,1
1989,11,539,1
1989,12,540,1
1990,1,541,0
1990,2,542,0
1990,3,543,1
1990,4,544,1
1990,5,545,0
1990,6,546,2
1990,7,547,1
1990,8,548,0
1990,9,549,2
1990,10,550,1
1990,11,551,0
1990,12,552,0
1991,1,553,0
1991,2,554,0
1991,3,555,1
1991,4,556,2
1991,5,557,0
1991,6,558,0
1991,7,559,0
1991,8,560,1
1991,9,561,2
1991,10,562,1
1991,11,563,0
1991,12,564,0
1992,1,565,0
1992,2,566,0
1992,3,567,1
1992,4,568,1
1992,5,569,0
1992,6,570,2
1992,7,571,0
1992,8,572,0
1992,9,573,2
1992,10,574,0
1992,11,575,0
1992,12,576,0
